subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label
obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
obo:NCIT_C17998;"""UNKNOWN_SEX""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en"
obo:NCIT_C28421;"""Sex""@en";hriv:hasExactMeaning;;hrio:Sex;"""Sex""@en"
obo:NCIT_C28421;"""Sex""@en";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en"
onz-g:Animal;"""Dier""@nl";hriv:hasExactMeaning;;hrio:Animal;"""Animal""@en"
onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en"
onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en"
onz-g:BiologicalSex;"""Geslacht""@nl";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en"
onz-g:FemaleSex;"""Vrouwelijk geslacht""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en"
onz-g:GenderIdentity;"""Genderidentiteit""@nl";hriv:hasExactMeaning;;hrio:GenderIdentity;"""Gender Identity""@en"
onz-g:GenderIdentity;"""Genderidentiteit""@nl";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedAgenderPerson;"""Self-identified Agender Person""@en"
onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en"
onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
onz-g:Human;"""Mens""@nl";hriv:hasExactMeaning;;hrio:Person;"""Person""@en"
onz-g:IntersexPerson;"""Intersekse persoon""@nl";hriv:hasExactMeaning;;hrio:IndeterminateBiologicalPerson;"""Indeterminate Biological Person""@en"
onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
onz-g:Man;"""Man""@nl";hriv:hasExactMeaning;Not;hrio:MaleSexPerson;"""Male-sex Person""@en"
onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSexPerson;"""Female-sex Person""@en"
onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleGenderPerson;"""Female-gender Person""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicFemaleSex;"""Phenotypic Female Sex""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicFemaleSex;"""Karyotypic Female Sex""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:FemaleSexPerson;"""Female-sex Person""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthFemaleSex;"""Sex-at-birth Female Sex""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en"
snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:Female;"""Female""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicMaleSex;"""Karyotypic Male Sex""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:Male;"""Male""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthMaleSex;"""Sex-at-birth Male Sex""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:MaleSex;"""Male Sex""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:MaleSexPerson;"""Male-sex Person""@en"
snomed:248153007;"""Male (finding)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicMaleSex;"""Phenotypic Male Sex""@en"
snomed:263495000;"""Gender (observable entity)""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedGender;"""Externally-attributed Gender""@en"
snomed:263495000;"""Gender (observable entity)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
snomed:263495000;"""Gender (observable entity)""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
snomed:285116001;"""Gender identity finding (finding)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
snomed:285116001;"""Gender identity finding (finding)""@en";hriv:hasExactMeaning;Not;hrio:SelfDesignatedGender;"""Self-designated Gender""@en"
snomed:285116001;"""Gender identity finding (finding)""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
snomed:302081005;"""Finding of sex of baby (finding)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
snomed:302081005;"""Finding of sex of baby (finding)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicSex;"""Phenotypic Sex""@en"
snomed:365873007;"""Gender finding (finding)""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
snomed:365873007;"""Gender finding (finding)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
snomed:429019009;"""Finding related to biological sex (finding)""@en";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en"
snomed:703118005;"""Feminine gender (finding)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
snomed:703118005;"""Feminine gender (finding)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en"
snomed:703118005;"""Feminine gender (finding)""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en"
snomed:703118005;"""Feminine gender (finding)""@en";hriv:hasExactMeaning;Not;hrio:FeminineGenderExpression;"""Feminine Gender Expression""@en"
